ValgstedId,Opførelsesår_Antal_boliger_1940-1959,Opførelsesår_Antal_boliger_1960-1969,Opførelsesår_Antal_boliger_1970-1979,Opførelsesår_Antal_boliger_1980-1989,Opførelsesår_Antal_boliger_1990-1999,Opførelsesår_Antal_boliger_2000-2009,Opførelsesår_Antal_boliger_2010-9999,Opførelsesår_Antal_boliger_Før 1940
482007,55.97,70.07,185.26,52.35,16.09,54.45,11.72,552.87
482011,45.03,34.93,68.74,31.65,8.91,73.55,8.28,547.13
492001,99,146,204,70,37,81,15,944
492002,106,109,101,57,14,53,21,701
492003,23,39,59,33,8,5,7,416
510001,575.12,449.44,649.26,854.48,253.95,220.78,205.21,2459.53
510002,890,693,406,76,136,234,114,850
510003,386.36,287.43,265.65,151.98,44.91,52.06,125.33,827.74
510004,40.90,68.36,67.44,23.66,9.03,28.90,7.11,243.16
510005,50.37,62.15,90.57,31.92,11.22,20.61,13.85,206.20
510006,32.31,33.13,105.88,146.94,98.64,109.75,20.51,287.35
510007,0,0,0,0,0,0,0,0
510008,93.62,97.55,81.12,53.52,30.18,36.34,26.92,355.38
510009,76,152,355,115,135,130,25,135
510010,63.38,106.45,106.88,37.48,33.82,52.66,19.08,280.62
510011,59.14,92.25,46.55,26.17,26.15,26.56,8.26,263.58
