ValgstedId,Boligtype_Antal_personer_01. Stuehuse og parcelhuse,Boligtype_Antal_personer_02. Række- og kædehuse,Boligtype_Antal_personer_03. Flerfamiliehuse,Boligtype_Antal_personer_04. Kollegier,Boligtype_Antal_personer_05. Sommerhuse,Boligtype_Antal_personer_06. Øvrige boliger
482002,2149.91,173.45,33.10,0,44.06,48.69
482005,3206.02,1450.71,818.54,0,3.25,224.81
482007,1746.16,120.42,57,0,41.62,30.99
482011,1231.84,123.58,28,0,43.38,16.01
492001,1974,512,185,45,1,30
492002,1831,153,112,0,10,46
492003,988,30,32,0,6,9
510001,3159.57,927.06,5892.54,3.27,6,89.92
510002,3324,1015,2596,0,0,11
510003,2718.37,350.61,1222.81,39.56,0,6.07
510004,1115.78,37.72,34.15,0,3.41,11.75
510005,1026.11,98.80,35.74,0,11.66,8.02
510006,1556.07,224.11,154.22,0,1.94,8.71
510007,0,0,0,0,0,0
510008,1467.93,78.93,88.77,0,57.90,17.25
510009,2631,275,6,0,0,2
510010,1352.07,48.07,34.23,0,113.10,24.75
510011,1040.42,49.26,70.07,0,45,55.31
510012,875.13,37.30,33.27,0,0,5.36
510013,1353.06,70.33,83.65,0.16,0,24.01
510014,1935.45,114.44,115.66,0,0,7.33
510015,1176,130,9,0,0,3
510016,942,27,71,0,0,8
510017,4399.16,1741.30,982.39,0,0,19.80
510018,2241.88,115.07,138.51,0,0,10.73
510019,1107,36,52,0,0,2
510020,2458.26,556,288,0,0,35
510021,739.18,39.27,15.17,0,0,9.82
510022,486.56,18.73,1.83,0,0,6.18
530001,4814,1586,571,45,0,12
530002,1978,247,111,0,0,16
530003,1807,195,103,0,0,26
530004,896,99,15,0,0,6
530005,952,60,15,0,0,7
530006,7540,1059,2325,8,1,73
530007,1802,179,46,0,1,13
540001,3938,1065,515,26,24,19
540002,2153,453,94,0,0,3
540003,2836,454,112,0,0,6
540004,2141,210,52,0,7,2
540005,2780,548,409,0,0,28
540006,2882,360,51,0,28,18
540007,2181,199,44,0,64,3
540008,456,66,9,0,24,1
540009,4321,1738,3154,178,2,29
540010,3070,1532,3022,496,1,56
540011,1655,723,4921,173,0,131
540012,4498,745,797,0,0,14
540013,2937,290,80,0,0,6
540014,1671,106,39,0,0,2
540015,3755,428,355,0,53,25
540016,5634,923,1362,8,28,30
540017,914,21,28,0,0,0
550001,1563,195,99,0,0,14
550002,690,14,6,0,0,8
550003,541,13,8,0,0,3
550004,1356,204,116,0,0,24
550007,531,11,11,0,0,6
550008,1014,55,39,0,0,11
550012,2297,607,275,1,0,29
550014,1266,25,85,0,0,31
550015,683,59,27,0,0,4
550016,929,26,9,0,0,14
550017,1837,163,97,0,0,20
550018,665,22,21,0,63,3
550019,532,22,0,0,0,15
550021,662,18,23,0,0,4
550023,3173,453,337,5,0,65
550024,983,16,26,0,0,27
550025,4583,1253,2193,37,0,118
550027,1030,41,22,0,0,7
550029,947,51,16,0,0,1
550051,462,41,15,0,17,24
550061,2860,426,402,0,0,19
550071,618,6,16,0,0,10
561002,1874,148,10453,0,0,199
561003,347,88,2141,56,0,3
561004,1661,562,2145,0,0,35
561005,2676,630,3538,77,0,7
561006,2870,1424,1857,377,0,9
561007,2768,460,2068,0,0,19
561008,1996,180,39,0,0,19
561011,2920,195,1090,0,0,23
561012,3089,303,40,0,0,24
561015,5517,1110,515,0,6,6
561016,6147,1150,236,0,92,50
561017,1473,95,15,0,0,10
561020,3121,367,52,0,2,16
561021,1688,310,2059,0,0,0
561022,1808,477,768,0,66,53
561023,1900,1398,481,0,1,0
561024,2986,803,363,0,0,16
561025,8659,941,949,13,2,49
561028,7049,2101,1854,29,12,109
561032,1862,77,84,0,0,27
561033,2607,81,100,0,0,9
561035,0,0,0,0,0,0
561038,1564,32,28,0,0,10
561040,3141,300,209,0,0,18
563001,1900,907,153,0,134,30
563002,282,41,5,0,31,5
573001,8317,2318,3441,10,0,255
573004,1071,34,22,0,0,6
573005,741,78,19,0,0,12
573006,888,8,23,0,0,15
573007,1516,94,10,0,3,20
573008,1081,64,17,0,0,4
573009,1205,76,28,0,0,17
573010,1308,66,19,0,0,11
573013,1827,223,115,0,61,30
573014,681,9,41,0,72,34
573015,1453,150,47,0,6,30
573018,3038,391,107,0,125,92
573019,299,29,30,0,149,62
573022,1118,106,11,0,0,12
573023,1354,157,75,0,0,20
573024,608,51,14,0,0,4
573026,1444,71,22,0,0,29
573027,936,90,25,0,0,8
573028,1236,88,47,1,0,12
573030,4757,533,526,0,0,80
573031,1682,202,128,0,0,34
573032,1458,127,106,3,30,22
573033,744,42,49,0,0,1
575001,4551,681,409,0,0,28
575002,752,54,8,0,0,22
575003,2790,645,227,0,0,55
575004,1103,49,14,0,0,2
575005,1149,96,28,0,1,10
575006,524,40,15,0,1,0
575007,2546,528,340,14,0,44
575008,907,42,23,0,0,3
575009,2051,295,174,0,7,43
575010,717,11,21,0,0,3
575011,1527,167,136,0,0,29
575012,444,12,13,0,2,4
575013,748,14,21,0,0,9
575014,5463,2108,1544,0,0,72
575015,686,9,2,0,0,0
575016,2836,294,273,0,0,26
575017,1400,103,10,0,0,9
575018,1367,124,53,0,0,7
575019,1887,219,93,0,1,7
580001,873,32,30,0,0,4
580002,845,30,54,0,0,9
580003,4917,1364,446,0,0,52
580004,3932,320,115,0,80,16
580005,1754,148,50,0,0,11
580006,903,28,23,4,0,6
580007,2008,187,60,0,0,13
580008,2221,112,107,0,1,17
580009,1940,148,131,0,1,11
580010,1180,60,56,0,2,10
580011,2326,196,82,0,0,17
580012,2464,618,329,0,0,102
580013,1927,186,53,0,0,29
580014,3696,327,180,14,11,59
580015,3741,782,567,0,0,43
580016,3812,790,4501,115,0,152
580017,2101,596,1314,77,0,24
