ValgstedId,Boligtype_Antal_boliger_01. Stuehuse og parcelhuse,Boligtype_Antal_boliger_02. Række- og kædehuse,Boligtype_Antal_boliger_03. Flerfamiliehuse,Boligtype_Antal_boliger_04. Kollegier,Boligtype_Antal_boliger_05. Sommerhuse,Boligtype_Antal_boliger_06. Øvrige boliger
461002,1225,1226,2962,1,1,288
461003,548,249,1392,0,0,25
461004,879,256,4167,70,0,151
461005,515,1391,1989,64,0,266
461006,968,178,35,0,0,3
461007,1178,984,539,0,0,115
461009,668,798,142,0,0,9
461011,599,267,5582,390,0,25
461012,789,1317,3187,436,0,220
461013,413,74,20,0,0,5
461014,1386,1187,535,19,0,8
461016,1069,745,12,0,0,45
461017,1733,751,463,0,0,11
461018,1323,1057,243,0,1,33
461019,1168,635,407,15,0,126
461020,1377,588,25,0,0,5
461021,1028,158,12,0,0,52
461023,451,373,6042,271,1,178
461024,1538,307,375,21,0,30
461025,673,1448,1757,1097,0,6
461026,2664,1885,254,0,0,108
461028,1579,645,34,0,0,26
461029,1386,555,939,0,0,22
461030,1723,1289,1054,213,0,99
461031,975,438,126,0,0,11
461032,316,65,20,0,0,20
461033,1435,544,408,0,0,21
461035,465,1165,2667,0,0,140
461036,523,965,765,138,0,215
479001,2448,1207,3657,561,4,103
479002,716,378,711,24,0,25
479003,1192,886,1577,19,0,12
479004,474.86,41.98,7.94,0,8.51,4.54
479005,1394,319,85,0,4,17
479006,0,0,0,0,0,0
479007,779,310,17,0,0,3
479008,362.14,32.02,6.06,0,6.49,3.46
479009,868,226,66,25,2,7
479010,1267,216,56,0,19,7
479011,793,495,28,0,0,4
479014,490,61,24,0,0,4
479016,648,126,75,44,0,4
479017,872,214,79,1,1,36
479019,1016,149,32,1,1,20
479021,451,44,48,0,0,23
479023,526,137,35,0,0,17
479025,501,85,72,0,11,33
479027,603,152,33,3,3,69
480001,1394,871,534,0,49,52
480002,422,5,1,0,1,1
480003,1222,19,16,0,169,14
480004,2027,686,386,1,0,18
480005,481,7,0,0,0,7
480006,553,54,9,0,0,5
480007,525,42,2,0,0,14
480008,1002,117,22,0,0,8
480009,610,50,6,0,0,5
480010,1372,561,83,0,0,16
482001,422.85,38.57,12.20,0,10.41,5.22
482002,1050.06,151.49,19.52,0,26.34,23.50
482005,1448.09,924.94,582.27,0,2.25,122.29
482007,820.20,98.61,44,0,23.17,12.81
482011,661.80,100.39,24,0,24.83,7.19
492001,1017,373,151,41,1,13
492002,917,129,88,0,7,21
492003,538,28,18,0,2,4
510001,1258.37,582.40,3803.55,3.20,3,17.25
510002,1276,580,1535,0,0,8
510003,1059.32,183.91,856.84,38.64,0,2.74
510004,437.68,22.98,21.93,0,2.05,3.93
510005,397.46,59.09,21.78,0,6.99,1.58
510006,613.31,116.14,103.13,0,0.97,0.97
510007,0,0,0,0,0,0
510008,617.39,52.59,66.43,0,33.79,4.42
510009,960,158,4,0,0,1
510010,576.61,28.41,20.57,0,69.21,5.58
510011,444.59,35.20,30.71,0,31,7.15
510012,333.61,29.24,19.84,0,0,1.18
510013,549.31,42.69,50.62,0.16,0,3.01
510014,767.81,66.55,67.44,0,0,4.67
510015,481,90,7,0,0,2
510016,392,21,38,0,0,5
510017,1827.44,1145.69,684.71,0,0,10.91
510018,908.11,94.10,87.45,0,0,6.61
510019,453,25,28,0,0,1
510020,1063.92,335,173,0,0,15
510021,331.76,26.78,8.93,0,0,3.57
510022,186.32,11.22,1.07,0,0,2.43
530001,1830,949,383,36,0,4
530002,831,182,64,0,0,5
530003,740,127,66,0,0,6
530004,367,81,8,0,0,3
530005,360,43,8,0,0,3
530006,2997,742,1425,6,1,23
530007,756,127,34,0,1,5
540001,1760,695,364,24,15,11
540002,956,282,55,0,0,2
540003,1256,332,71,0,0,3
540004,931,120,32,0,5,1
540005,1157,394,269,0,0,19
540006,1145,278,34,0,17,6
540007,948,125,26,0,36,1
540008,202,33,5,0,15,1
540009,1694,1050,1590,167,2,8
540010,1242,875,1750,429,1,23
540011,637,402,3210,164,0,27
540012,1731,459,515,0,0,8
540013,1149,191,35,0,0,3
540014,675,66,18,0,0,2
540015,1474,291,232,0,32,8
540016,2354,599,892,1,14,21
540017,364,16,16,0,0,0
550001,674,126,55,0,0,9
550002,319,13,2,0,0,2
550003,226,9,2,0,0,1
550004,624,146,78,0,0,9
550007,245,8,4,0,0,3
550008,426,40,21,0,0,4
550012,1024,423,182,1,0,18
550014,482,18,64,0,0,6
550015,283,56,17,0,0,1
550016,349,19,6,0,0,5
550017,746,133,57,0,0,9
550018,280,19,10,0,35,3
550019,217,15,0,0,0,3
550021,281,12,14,0,0,2
550023,1336,336,205,1,0,17
550024,435,11,15,0,0,4
550025,2001,814,1406,35,0,59
550027,416,28,14,0,0,4
550029,407,33,6,0,0,1
550051,235,35,7,0,12,8
550061,1219,338,255,0,0,14
550071,247,5,9,0,0,4
561002,751,70,7097,0,0,26
561003,139,51,1576,51,0,3
561004,693,299,1422,0,0,7
561005,1145,399,1860,70,0,4
561006,1087,740,1248,326,0,5
561007,1173,276,1077,0,0,6
561008,735,118,21,0,0,5
561011,1137,146,711,0,0,5
561012,1131,198,25,0,0,9
561015,2187,638,353,0,3,2
561016,2425,713,169,0,48,18
561017,521,64,5,0,0,4
561020,1169,236,31,0,1,5
561021,669,206,1135,0,0,0
561022,725,288,455,0,39,10
561023,755,810,269,0,1,0
561024,1055,408,195,0,0,4
561025,3398,691,590,11,1,17
561028,2870,1344,1268,26,7,43
561032,745,57,53,0,0,4
561033,1041,70,69,0,0,2
561035,0,0,0,0,0,0
561038,667,21,14,0,0,3
561040,1260,215,111,0,0,9
563001,793,567,87,0,80,17
563002,151,26,4,0,17,4
573001,3348,1524,2139,7,0,97
573004,428,23,15,0,0,3
573005,286,53,9,0,0,3
573006,331,5,9,0,0,4
573007,555,63,8,0,1,6
573008,426,47,6,0,0,1
573009,485,41,12,0,0,6
573010,514,46,11,0,0,4
573013,818,181,67,0,35,16
573014,290,4,16,0,42,12
573015,565,113,29,0,1,10
573018,1241,282,74,0,72,34
573019,138,19,19,0,89,14
573022,435,68,4,0,0,3
573023,562,121,50,0,0,8
573024,256,26,4,0,0,2
573026,532,52,12,0,0,10
573027,380,76,11,0,0,3
573028,509,62,22,1,0,5
573030,1944,358,358,0,0,32
573031,679,142,64,0,0,16
573032,629,79,81,1,19,10
573033,307,27,28,0,0,1
575001,1828,463,259,0,0,6
575002,320,34,2,0,0,3
575003,1156,407,125,0,0,26
575004,447,29,4,0,0,1
575005,444,72,16,0,1,4
575006,222,30,6,0,1,0
575007,1069,376,206,7,0,12
575008,358,32,14,0,0,3
575009,797,220,99,0,3,9
575010,277,9,13,0,0,1
575011,590,125,74,0,0,11
575012,189,8,9,0,1,2
575013,298,14,8,0,0,4
575014,2233,1316,991,0,0,17
575015,264,8,1,0,0,0
575016,966,189,162,0,0,8
575017,550,58,5,0,0,4
575018,519,78,33,0,0,3
575019,770,113,39,0,1,4
580001,328,20,16,0,0,2
580002,337,25,31,0,0,5
580003,1963,890,316,0,0,18
580004,1572,221,59,0,45,9
580005,683,98,23,0,0,4
580006,361,22,17,1,0,5
580007,808,120,31,0,0,8
580008,885,74,55,0,1,6
580009,792,98,74,0,1,7
580010,484,49,31,0,1,3
580011,1014,152,35,0,0,11
580012,1054,412,225,0,0,23
580013,825,123,36,0,0,6
580014,1631,237,118,1,5,16
